"id_operation","lib_transaction","credit","debit","id_categorie","lib_categorie","id_sous_categorie","lib_sous_categorie"
170,"PRLV SEPA SEFIA SEF/T005273743/74662536 F190003580",,-543.040000,6,"LOCATIONS MOBILIERES",18,"Locations Hyundai Tucson"
171,"RELEVE CARTE 22124388",,-3144.320000,,"",,""
172,"PRLV SEPA OVH SAS OA62977-KS, ORDER 101018699 PAYMENT ORDER 101018699",,-44.380000,4,"SOUS TRAITANCE GENERALE",10,"Hébergements France"
173,"VIR EI TECHNOLOGIES FCE 30066-12-19014035001659",21816.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
174,"CHEQUE 2049102",,-8251.200000,13,"INTERMED ET HONORAIRES",112,"Honoraires commercialisation"
175,"VIR MAAF ASSURANCES SA 0309201805911281 VIRT 10 MAAF AS REMB192367366",2205.500000,,,"",,""
176,"PRLV SEPA GOOGLE IRELAND LIMITE GG101NSPH4 APPS COMMERCE:ADBI.FR:GG101NSPH4",,-255.470000,4,"SOUS TRAITANCE GENERALE",9,"Hébergement U.E"
177,"VIR SAID AMRANI 2018-12",,-6000.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
178,"INTERETS/FRAIS",,-2240.240000,18,"SERVICES BANCAIRES",44,"Frais sur emprunts"
179,"VIR CONFORAMA FRANCE CONFORAMA FRANCE SA/2019-01-03/6057 6057784",11745.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
180,"VIR FEEL EUROPE FORMATION INV-1309 ADBI 1812158",13530.000000,,35,"VENTES PRESTATIONS SERV",97,"Prestations services formation"
181,"VIR LUXORY 201812",,-8313.120000,13,"INTERMED ET HONORAIRES",110,"Honoraires  agents sécu-accueil"
182,"REM CHQ REF10290R07",108.000000,,,"",,""
183,"VIR CDISCOUNT 0000584845 /INV/INV-1271 30.11.2018/INV/INV-1272 30.11.2018/INV/INV-1273 30.11.20",30012.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
184,"VIR  Systema services 201806",,-6300.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
185,"VIR COM CAUTIONS 01/01 DECOMPTE AVALS ET CAUTIONS ARRE",,-25.700000,18,"SERVICES BANCAIRES",45,"Frais bancaires"
186,"PRLV SEPA CREDIPAR 101M1728957 101M1728957 32 310119 VOTRE IDENTIFIANT ESPACE CLIENT : NOTRE SITE :",,-494.680000,6,"LOCATIONS MOBILIERES",109,"Locations Peugeot 3008"
187,"VIR FORMATION B.O",,-3000.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
188,"VIR VERALLIA PACKAGING 0018000160 /INV/INV-1297 30.11.2018",9540.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
